İL ADI 	İLÇE ADI 	YURT ADI 	BLOK 	İŞLETME TÜRÜ TOPLAM
KAPASİTE
İŞLETMENİN
HİZMET VERECEĞİ
KAPASİTE
ARDAHAN 	MERKEZ 	ARDAHAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	462 	462
ARTVİN 	MERKEZ 	ARTVİN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	652 	652
ARTVİN 	BORÇKA 	HAMDİ EFENDİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	288 	288
ARTVİN 	HOPA 	HOPA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	678 	678
ARTVİN 	ARHAVİ 	NEDİME LÜTFİYE GÜNAL YURDU 	MERKEZİ 	LOKANTA-KANTİN 	172 	172
ARTVİN 	ŞAVŞAT 	ŞAVŞAT YURDU 	MERKEZİ 	LOKANTA-KANTİN 	110 	110

-- 3 of 19 --

AYDIN 	EFELER 	ADNAN MENDERES YURDU 	MERKEZİ 	KUAFÖR 	1044 	1044
AYDIN 	EFELER 	ADNAN MENDERES YURDU VE GÜLÇİÇEK HATUN YURDU BİRLİKTE 	MERKEZİ 	LOKANTA-KANTİN 	1284 	1284
AYDIN 	EFELER 	AYDIN YURDU 	A-B 	BERBER 	920 	760
AYDIN 	NAZİLLİ 	GEVHERHAN SULTAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	761 	761
AYDIN 	NAZİLLİ 	İSABEYLİ YURDU 	A-B 	KUAFÖR 	702 	558
AYDIN 	KUŞADASI 	KUŞADASI YURDU VE EFE AYŞE YURDU BİRLİKTE 	MERKEZİ 	LOKANTA-KANTİN 	871 	871
BALIKESİR 	BANDIRMA 	AYHAN SONGAR YURDU 	MERKEZİ 	LOKANTA-KANTİN 	420 	420
BALIKESİR 	BANDIRMA 	FATMA ANA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	552 	552
BALIKESİR 	HAVRAN 	HAVRAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	114 	114
BALIKESİR 	GÖNEN 	GÖNEN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	364 	364
BARTIN 	MERKEZ 	ÇEŞM-İ CİHAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	664 	664
BARTIN 	MERKEZ 	HACI İBRAHİM PAŞA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	2462 	2462
BARTIN 	MERKEZ 	ORUÇ REİS YURDU 	MERKEZİ 	LOKANTA-KANTİN 	243 	243
BAYBURT 	MERKEZ 	DEDE KORKUT YURDU 	MERKEZİ 	LOKANTA-KANTİN 	233 	233
BAYBURT 	MERKEZ 	AĞLARBABA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	820 	820
BAYBURT 	MERKEZ 	BAYBURT YURDU 	MERKEZİ 	LOKANTA-KANTİN 	330 	330
BİNGÖL 	MERKEZ 	YUSUF HARPUTİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	344 	344
BOLU 	MERKEZ 	HAYREDDİN TOKADİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	2802 	2802

-- 4 of 19 --

BOLU 	MERKEZ 	HAYREDDİN TOKADİ YURDU 	MERKEZİ 	KUAFÖR 	2802 	2802
BOLU 	MERKEZ 	İZZET BAYSAL YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1138 	1138
BOLU 	MERKEZ 	SEYYİDE NEFİSE YURDU 	MERKEZİ 	LOKANTA-KANTİN 	844 	844
BURDUR 	MERKEZ 	ASIM'IN NESLİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	556 	556
BURDUR 	MERKEZ 	RAHMİ SULTAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	276 	276
BURDUR 	MERKEZ 	SAFAHAT YURDU 	MERKEZİ 	LOKANTA-KANTİN 	567 	567
BURSA 	NİLÜFER 	EMİR SULTAN YURDU 	MERKEZİ 	İNTERNET 	1112 	1112
BURSA 	NİLÜFER 	EMİR SULTAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1112 	1112
BURSA 	KARACABEY 	KARACABEY ÖĞRENCİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	364 	364
BURSA 	NİLÜFER 	MALHUN HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	193 	193
BURSA 	NİLÜFER 	MEHMED ZAHİD KOTKU YURDU 	MERKEZİ 	LOKANTA-KANTİN 	654 	654
BURSA 	NİLÜFER 	NİLÜFER HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	409 	409
BURSA 	İNEGÖL 	ŞİRİN HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	478 	478
BURSA 	NİLÜFER 	ULUDAĞ YURDU VE HALİME HATUN YURDU BİRLİKTE 	MERKEZİ 	KUAFÖR 	3192 	3192
BURSA 	NİLÜFER 	ULUDAĞ YURDU VE HALİME HATUN YURDU BİRLİKTE 	MERKEZİ 	FOTOKOPİ-KIRTASİYE 	3192 	3192
ÇANAKKALE 	BİGA 	AHMET BİCAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	792 	792
ÇANAKKALE 	MERKEZ 	ÇANAKKALE YURDU VE ADİLE SULTAN YURDU BİRLİKTE 	MERKEZİ 	LOKANTA-KANTİN 	444 	444
ÇANAKKALE 	GELİBOLU 	GELİBOLU YURDU 	MERKEZİ 	LOKANTA-KANTİN 	120 	120

-- 5 of 19 --

ÇANAKKALE 	MERKEZ 	SAFİYE HÜSEYİN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	2338 	2338
ÇANKIRI 	MERKEZ 	EMİR KARATEKİN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1124 	1124
ÇORUM 	MERKEZ 	İSKİLİPLİ ATIF HOCA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1500 	1500
ÇORUM 	OSMANCIK 	OSMANCIK YURDU 	MERKEZİ 	LOKANTA-KANTİN 	308 	308
DENİZLİ 	BEKİLLİ 	BEKİLLİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	245 	245
DENİZLİ 	PAMUKKALE HAREZMİ YURDU-İBN-İ HALDUN YURDU-İBN-İ RÜŞD YURDU BİRLİKTE 	MERKEZİ 	LOKANTA-KANTİN 	1323 	1323
DENİZLİ 	PAMUKKALE 	PAMUKKALE YURDU 	MERKEZİ 	FİTNESS SALONU 	1618 	1618
DENİZLİ 	PAMUKKALE PAMUKKALE YURDU VE BİRUNİ YURDU BİRLİKTE 	MERKEZİ 	TERZİ 	3370 	3370
DENİZLİ 	PAMUKKALE 	PROF.DR.CEVAT AKŞİT YURDU 	MERKEZİ 	FİTNESS SALONU 	1758 	1758
DENİZLİ 	TAVAS 	TAVAS YURDU 	MERKEZİ 	LOKANTA-KANTİN 	265 	265
DİYARBAKIR 	SUR 	SELAHATTİN EYYUBİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1020 	1020
DÜZCE 	CUMAYERİ 	CUMAYERİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	230 	230
DÜZCE 	MERKEZ 	EBU HANİFE YURDU 	MERKEZİ 	LOKANTA-KANTİN 	444 	444
DÜZCE 	MERKEZ 	RAZİYE BEGÜM SULTAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1500 	1500
EDİRNE 	KEŞAN 	GAZİ EVRENOS YURDU 	MERKEZİ 	LOKANTA-KANTİN 	430 	430
EDİRNE 	KEŞAN 	KEŞAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	360 	360
EDİRNE 	MERKEZ 	KIRKPINAR YURDU 	B 	LOKANTA-KANTİN 	640 	320
EDİRNE 	İPSALA 	İPSALA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	322 	322

-- 6 of 19 --

EDİRNE 	UZUNKÖPRÜ 	UZUNKÖPRÜ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	558 	558
ELAZIĞ 	MERKEZ 	HAZAR YURDU 	MERKEZİ 	LOKANTA-KANTİN 	632 	632
ELAZIĞ 	MERKEZ 	FIRAT YURDU-ÖMER BİLGİNOĞLU YURDU VE ŞAH CİHAN SULTAN YURDU BİRLİKTE 	MERKEZİ 	LOKANTA-KANTİN 	1930 	1930
ERZİNCAN 	MERKEZ 	ERZİNCAN YURDU 	MERKEZİ 	KUAFÖR 	2139 	2139
ERZİNCAN 	İLİÇ 	İLİÇ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	168 	168
ERZİNCAN 	KEMAH 	KEMAH YURDU 	MERKEZİ 	LOKANTA-KANTİN 	452 	452
ERZURUM 	AŞKALE 	AŞKALE YURDU 	MERKEZİ 	LOKANTA-KANTİN 	168 	168
ERZURUM 	HINIS 	HINIS YURDU 	MERKEZİ 	LOKANTA-KANTİN 	90 	90
ERZURUM 	AZİZİYE 	İBRAHİM HAKKI YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1930 	1930
ERZURUM 	PASİNLER 	PASİNLER YURDU 	MERKEZİ 	LOKANTA-KANTİN 	216 	216
ERZURUM 	PALANDÖKEN 	RABİA HATUN YURDU 	A 	LOKANTA-KANTİN 	2051 	691
ERZURUM 	PALANDÖKEN 	RABİA HATUN YURDU 	B 	LOKANTA-KANTİN 	2051 	540
ERZURUM 	PALANDÖKEN 	RABİA HATUN YURDU 	C 	LOKANTA-KANTİN 	2051 	820
ERZURUM 	YAKUTİYE 	YAKUTİYE YURDU 	MERKEZİ 	LOKANTA-KANTİN 	507 	507
ESKİŞEHİR 	TEPEBAŞI 	CUMHURİYET YURDU 	MERKEZİ 	LOKANTA-KANTİN 	593 	593
ESKİŞEHİR 	TEPEBAŞI 	EMİNE HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	352 	352
ESKİŞEHİR 	TEPEBAŞI 	MÜKRİME HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1016 	1016
GAZİANTEP 	ŞAHİNBEY 	NİLÜFER YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1656 	1656

-- 7 of 19 --

GAZİANTEP 	ŞAHİNBEY 	ÜMMÜ GÜLSÜM YURDU 	MERKEZİ 	KUAFÖR 	3192 	3192
GAZİANTEP 	ŞAHİNBEY 	ÜMMÜ GÜLSÜM YURDU 	MERKEZİ 	LOKANTA-KANTİN 	3192 	3192
GİRESUN 	KEŞAP 	AZİZ HÜSEYİN GÖKÇE YURDU 	MERKEZİ 	LOKANTA-KANTİN 	135 	135
GİRESUN 	ALUCRA 	ALUCRA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	458 	458
GİRESUN 	ŞEBİNKARAHİSAR 	ŞEBİNKARAHİSAR YURDU 	MERKEZİ 	LOKANTA-KANTİN 	894 	894
GİRESUN 	MERKEZ 	ESMA SERHAT HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1262 	1262
GİRESUN 	MERKEZ 	YENİ AÇILACAK YURT 	MERKEZİ 	LOKANTA-KANTİN 	1048 	1048
GÜMÜŞHANE 	KÜRTÜN 	KÜRTÜN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	178 	178
GÜMÜŞHANE 	KELKİT 	OSMAN NURİ EFENDİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	416 	416
HATAY 	ANTAKYA 	ANTAKYA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1050 	1050
HATAY 	ANTAKYA 	CEMİL MERİÇ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	782 	782
HATAY 	İSKENDERUN 	GAZİYE HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	290 	290
HATAY 	ANTAKYA 	TAYFUR SÖKMEN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	2288 	2288
HATAY 	YAYLADAĞI 	YAYLADAĞI YURDU 	MERKEZİ 	LOKANTA-KANTİN 	100 	100
ISPARTA 	MERKEZ 	ISPARTA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	2016 	2016
ISPARTA 	MERKEZ 	MURAT HÜDAVENDİGAR YURDU (SABANCI BLOĞU HARİÇ) 	MERKEZİ 	LOKANTA-KANTİN 	2769 	2481
ISPARTA 	MERKEZ 	MİHRİ HATUN YURDU VE BEDİÜZZAMAN SAİD NURSİ YURDU 	MERKEZİ 	KUAFÖR 	4982 	4982
ISPARTA 	MERKEZ 	MİHRİ HATUN YURDU VE BEDİÜZZAMAN SAİD NURSİ YURDU 	MERKEZİ 	FOTOKOPİ-KIRTASİYE 	4982 	4982
İSTANBUL 	KADIKÖY 	AKKADIN HACI MUSTAFA TARMAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	294 	294

-- 8 of 19 --

İSTANBUL 	ZEYTİNBURNU 	ATATÜRK YURDU 	MERKEZİ 	KUAFÖR 	3555 	3555
İSTANBUL 	ZEYTİNBURNU 	ATATÜRK YURDU 	MERKEZİ 	LOKANTA-KANTİN 	3555 	3555
İSTANBUL 	ESENYURT 	ESENYURT YURDU 	MERKEZİ 	LOKANTA-KANTİN 	400 	400
İSTANBUL 	GÜNGÖREN 	FATİH SULTAN MEHMET YURDU 	MERKEZİ 	BERBER 	3240 	3240
İSTANBUL 	GÜNGÖREN 	FATİH SULTAN MEHMET YURDU 	MERKEZİ 	LOKANTA-KANTİN 	3240 	3240
İSTANBUL 	SANCAKTEPE 	İYİMAYA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	648 	648
İSTANBUL 	SANCAKTEPE 	İYİMAYA YURDU 	MERKEZİ 	KUAFÖR 	648 	648
İSTANBUL 	SANCAKTEPE 	İYİMAYA YURDU 	MERKEZİ 	FİTNESS SALONU 	648 	648
İSTANBUL 	MERKEZ 	SADABAD YURDU 	MERKEZİ 	LOKANTA-KANTİN 	752 	752
İSTANBUL 	MERKEZ 	SADABAD YURDU 	MERKEZİ 	KUAFÖR 	752 	752
İSTANBUL 	ŞİŞLİ 	ŞİŞLİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	198 	198
İSTANBUL 	ATAŞEHİR 	V.H.B. VALİ MUAMMER GÜLER YURDU 	MERKEZİ 	LOKANTA-KANTİN 	286 	286
İZMİR 	BALÇOVA 	ATATÜRK İNCİRALTI YURDU 	MERKEZİ 	FOTOKOPİ-KIRTASİYE 	1892 	1892
İZMİR 	BALÇOVA 	ATATÜRK İNCİRALTI YURDU 	MERKEZİ 	BERBER 	1892 	1892
İZMİR 	BORNOVA 	BORNOVA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	480 	480
İZMİR 	ÇİĞLİ 	CİHANNÜMA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	956 	956
İZMİR 	BORNOVA 	EGE YURDU VE ZÜBEYDE HANIM YURDU BİRLİKTE 	MERKEZİ 	FOTOKOPİ-KIRTASİYE 	3804 	3804
İZMİR 	BUCA 	İZMİR KIZ YURDU 	MERKEZİ 	KUAFÖR 	1340 	1340
İZMİR 	BUCA 	İZMİR KIZ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1340 	1340

-- 9 of 19 --

İZMİR 	URLA 	LATİFE HANIM YURDU 	MERKEZİ 	KUAFÖR 	456 	456
KAHRAMANMARAŞ ONİKİ ŞUBAT 	AVŞAR YURDU 	MERKEZİ 	KUAFÖR 	1004 	1004
KAHRAMANMARAŞ ONİKİ ŞUBAT 	İSTİKLAL YURDU 	MERKEZİ 	KUAFÖR 	510 	510
KAHRAMANMARAŞ DULKADİROĞLU 	KAHRAMANMARAŞ YURDU 	MERKEZİ 	BERBER 	1088 	1088
KAHRAMANMARAŞ DULKADİROĞLU 	KAHRAMANMARAŞ YURDU 	MERKEZİ 	TERZİ 	1088 	1088
KAHRAMANMARAŞ ONİKİ ŞUBAT 	NURİ PAKDİL YURDU 	MERKEZİ 	KUAFÖR 	621 	621
KAHRAMANMARAŞ ONİKİ ŞUBAT 	NURİ PAKDİL YURDU 	MERKEZİ 	LOKANTA-KANTİN 	621 	621
KARABÜK 	ESKİPAZAR 	ESKİPAZAR YURDU 	MERKEZİ 	LOKANTA-KANTİN 	165 	165
KARABÜK 	MERKEZ 	KATİP ÇELEBİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	822 	822
KARABÜK 	MERKEZ 	TAŞKENT YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1007 	1007
KARAMAN 	ERMENEK 	ERMENEK YURDU 	MERKEZİ 	LOKANTA-KANTİN 	270 	270
KARAMAN 	KAZIMKARABEKİR 	YENİ AÇILACAK YURT 	MERKEZİ 	LOKANTA-KANTİN 	535 	535
KARS 	SARIKAMIŞ 	SARIKAMIŞ 100.YIL ŞEHİTLERİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	344 	344
KASTAMONU 	ABANA 	ABANA YURDU 	MERKEZİ 	LOKANTA-KANTİN 	234 	234
KASTAMONU 	MERKEZ 	HÜMA HATUN YURDU 	C 	LOKANTA-KANTİN 	1333 	636
KASTAMONU 	MERKEZ 	ŞEYH ŞABAN-I VELİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1388 	1388
KASTAMONU 	MERKEZ 	ŞEYH ŞABAN-I VELİ YURDU 	MERKEZİ 	FOTOKOPİ-KIRTASİYE 	1388 	1388
KASTAMONU 	MERKEZ 	ŞEYH ŞABAN-I VELİ YURDU 	MERKEZİ 	BERBER 	1388 	1388
KASTAMONU 	MERKEZ 	ŞEYH ŞABAN-I VELİ YURDU 	MERKEZİ 	FİTNESS SALONU 	1388 	1388

-- 10 of 19 --

KAYSERİ 	MELİKGAZİ 	ERCİYES YURDU 	MERKEZİ 	İNTERNET 	1432 	1432
KAYSERİ 	MELİKGAZİ 	MELİKGAZİ YURDU 	MERKEZİ 	FOTOKOPİ-KIRTASİYE 	1434 	1434
KAYSERİ 	MERKEZ 	MUSTAFA ASIM KÖKSAL YURDU 	MERKEZİ 	LOKANTA-KANTİN 	558 	558
KIRIKKALE 	YAHŞİHAN 	HAMİDİYE YURDU 	MERKEZİ 	LOKANTA-KANTİN 	516 	516
KIRIKKALE 	YAHŞİHAN 	TÜRKAN HATUN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	1630 	1630
KIRKLARELİ 	LÜLEBURGAZ 	MEHMED EŞREF EFENDİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	406 	406
KIRKLARELİ 	MERKEZ 	KIRKLARELİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	580 	580
KIRKLARELİ 	BABAESKİ 	BABAESKİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	300 	300
KIRŞEHİR 	MUCUR 	ELVİN BUĞRA ARSLAN YURDU 	MERKEZİ 	LOKANTA-KANTİN 	438 	438
KIRŞEHİR 	MERKEZ 	EROL GÜNGÖR YURDU 	A-B-C 	LOKANTA-KANTİN 	1262 	490
KIRŞEHİR 	MERKEZ 	SALİHA SULTAN YURDU 	A-B 	LOKANTA-KANTİN 	2994 	2664
KIRŞEHİR 	MERKEZ 	SALİHA SULTAN YURDU 	A-B 	KUAFÖR 	2994 	2664
KIRŞEHİR 	MERKEZ 	SALİHA SULTAN YURDU 	A-B 	FOTOKOPİ-KIRTASİYE 	2994 	2664
KİLİS 	MERKEZ 	BİLAL-İ HABEŞİ YURDU 	MERKEZİ 	LOKANTA-KANTİN 	252 	252
